id,displayName,description,specialization,isMembershipLimitedToOwners,visibility,isArchived,createdDateTime
6b4560fe-56a5-4c86-b550-91bc7b1a44c7,UNI | Direito Civil VII - Família | Ter | Not | DIR0320 (FR),UNI | Direito Civil VII - Família | Ter | Not | DIR0320 (FR),educationClass,False,hiddenMembership,False,2021-02-12T21:54:54.104Z
9ba4a85d-ae76-476b-a478-005cca5e4faf,"UNI | Marketing | Qua | Not | ADM0289 (BL), ADM0308 (BL)","UNI | Marketing | Qua | Not | ADM0289 (BL), ADM0308 (BL)",educationClass,False,hiddenMembership,False,2021-02-12T22:06:17.691Z
f7648676-72df-4750-9b4e-1d4a0b6cfcdd,UNI | Estágio Básico III | PSI0187 (BN),UNI | Estágio Básico III | PSI0187 (BN),educationClass,False,hiddenMembership,False,2021-02-12T22:06:21Z
4a81ee1d-737f-463a-b7d8-1efc5ae98a8a,UNI | Práticas de Enfermagem na Saúde do Adulto | Qua | Not | ENF0050 (BN),UNI | Práticas de Enfermagem na Saúde do Adulto | Qua | Not | ENF0050 (BN),educationClass,False,hiddenMembership,False,2021-02-12T23:35:02.805Z
f97c242e-3320-45b3-abeb-15241425ca4c,"UNI | Legislação Trabalhista e Previdenciária | Qui | Not | ADM0273 (IG), ADM0352 (IG), ADM0353 (IG), ADM0354 (IG), ADM0355 (IG), ADM0356 (IG), ADM0360 (IG), ADM0361 (IG), ADM0362 (IG), CON0427 (IG)","UNI | Legislação Trabalhista e Previdenciária | Qui | Not | ADM0273 (IG), ADM0352 (IG), ADM0353 (IG), ADM0354 (IG), ADM0355 (IG), ADM0356 (IG), ADM0360 (IG), ADM0361 (IG), ADM0362 (IG), CON0427 (IG)",educationClass,True,hiddenMembership,True,2021-02-12T22:00:55.794Z
4fd6ec5f-f861-44a4-a960-e8d4a2741505,"UNI | Gestão Estratégica de Comunicação e Marketing | Seg | Not | PEP0124 (GM), PEP0139 (GM)","UNI | Gestão Estratégica de Comunicação e Marketing | Seg | Not | PEP0124 (GM), PEP0139 (GM)",educationClass,False,hiddenMembership,False,2021-02-12T22:21:58.35Z
d905cf67-be60-4b93-aa27-127657289b97,"UNI | Resistência dos Materiais | Qui | Not | ARQ0164 (BL), EME0193 (TB), ENC0240 (BL), ENC0247 (TB), ENE0122 (TB), EPR0279 (TB), EPR0288 (BL)","UNI | Resistência dos Materiais | Qui | Not | ARQ0164 (BL), EME0193 (TB), ENC0240 (BL), ENC0247 (TB), ENE0122 (TB), EPR0279 (TB), EPR0288 (BL)",educationClass,False,hiddenMembership,False,2021-02-12T22:00:48.954Z
0c479c20-d4d0-424d-8692-a02e30428243,"UNI | Assistência de Enfermagem ao Paciente em Situações Cirúrgicas | Seg | Mat | ENF0049 (BN), ENF0052 (BR)","UNI | Assistência de Enfermagem ao Paciente em Situações Cirúrgicas | Seg | Mat | ENF0049 (BN), ENF0052 (BR)",educationClass,False,hiddenMembership,False,2021-02-12T22:33:52.402Z
be417775-ced5-4aec-9067-796e5cef7a80,UNI | Práticas Contábeis III | CON0229 (FR),UNI | Práticas Contábeis III | CON0229 (FR),educationClass,False,hiddenMembership,False,2021-02-12T22:00:44.779Z
e9b03d51-9413-46e9-96f2-2cd512fa11fd,UNI | Tópicos Especiais I | Qua | Mat | DIR0011 (BL),UNI | Tópicos Especiais I | Qua | Mat | DIR0011 (BL),educationClass,False,hiddenMembership,False,2021-02-12T22:44:22.667Z
